"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"Genre";"PublishingHouse";"LitPrizeName";"Nomination";"signature_date";"global_id";
"59";"2016";"Что такое Африка";"[Кирилл Владимирович Бабаев Александра Александровна Архангельская]";"2015";"16+";"Рассказ";"Рипол Классик";"Просветитель";"Шорт-лист";"29.04.2020 10:45:27";"881376759";
"60";"2016";"Анатомия архитектуры. Семь книг о логике, форме и смысле";"[Сергей Кавтарадзе]";"2016";"18+";"Рассказ";"Издательский Дом ВШЭ";"Просветитель";"Гуманитарные науки";"29.04.2020 10:41:52";"881376781";
"61";"2016";"Мужчина и Женщина: тело, мода, культура. СССР – Оттепель";"[Наталия Борисовна Лебина]";"2014";"18+";"Рассказ";"Новое литературное обозрение";"Просветитель";"Шорт-лист";"29.04.2020 10:40:42";"881376798";
"62";"2016";"Появление героя. Из истории русской эмоциональной культуры конца XVIII – начала XIX века";"[Андрей Леонидович Зорин]";"2016";"18+";"Рассказ";"Новое литературное обозрение";"Просветитель";"Лонг-лист";"29.04.2020 10:41:51";"881376824";
"63";"2016";"Ненастье";"[Алексей Иванов]";"2015";"18+";"Рассказ";"АСТ";"Книга года";"Проза";"29.04.2020 10:41:51";"881376854";
"64";"2016";"Рассказы о животных";"[Сергей Солоух]";"2016";"18+";"Притча";"Время";"Большая книга";"Шорт-лист";"29.04.2020 10:46:41";"881376872";
"65";"2016";"Травля";"[Саша Филипенко]";"2016";"18+";"Притча";"Время";"Большая книга";"Шорт-лист";"29.04.2020 10:40:42";"881378748";
"66";"2016";"Чашка по-английски";"[Григорий Михайлович Кружков]";"2016";"6+";"Притча";"Нигма";"Книга года";"Вместе с книгой мы растём";"29.04.2020 10:36:41";"881379726";
"67";"2018";"Памяти памяти";"[Мария Степанова]";"2017";"18+";"Притча";"Новое издательства";"Большая книга и Литературная премия НОС (новая словесность)";"За лучшее прозаическое произведение большой формы - 1 премия";"29.04.2020 10:45:27";"919204439";
"68";"2018";"Бюро проверки";"[Александр Архангельский]";"2018";"18+";"Притча";"АСТ";"Большая книга";"За лучшее прозаическое произведение большой формы - 2 премия";"29.04.2020 10:41:52";"919204441";
"69";"2018";"Июнь";"[Дмитрий Быков]";"2018";"18+";"Притча";"АСТ";"Большая книга";"За лучшее прозаическое произведение большой формы - 3 премия";"29.04.2020 10:46:41";"919204442";
"70";"2018";"Театр отчаяния. Отчаянный театр";"[Евгений Гришковец]";"2018";"18+";"Притча";"КоЛибри. Азбука Аттикус";"Большая книга";"Финалист. Короткий список";"29.04.2020 10:46:41";"919204542";
"71";"2018";"Радуга и вереск";"[Олег Ермаков]";"2018";"16+";"Притча";"Время";"Большая книга";"Финалист. Короткий список";"29.04.2020 10:46:40";"919204672";
"72";"2018";"Рецепты сотворения мира. От Парижа до Сибири через весь ХХ век";"[Андрей Филимонов]";"2018";"18+";"Притча";"АСТ";"Большая книга";"Финалист. Короткий список";"29.04.2020 10:36:41";"919204766";
"73";"2018";"Мультимедийная журналистика. Учебник для вузов";"[Анна Качкаева Светлана Шомова Андрей Мирошниченко]";"2018";"0+";"Притча";"Высшая школа экономики";"Книга года";"Учебник ХХ1 века. Победитель";"29.04.2020 10:44:31";"919204943";
"74";"2018";"Теремок. Графическая история";"[Игорь Олейников]";"2018";"16+";"Притча";"Манн, Иванов и Фербер";"Книга года";"Вместе с книгой мы растем. Победитель";"29.04.2020 10:40:42";"919204944";
"75";"2018";"Прыжок в длину";"[Ольга Славникова]";"2018";"16+";"Притча";"АСТ";"Книга года и Ясная поляна";"Проза года. Современная русская проза. Победитель";"29.04.2020 10:36:41";"919204957";
"76";"2018";"История Крыма";"[]";"2017";"0+";"Притча";"Институт российской истории";"Книга года";"Humanitas. Победитель";"29.04.2020 10:40:41";"919206405";
"77";"2018";"Нарисованная Москва";"[Алена Дергилева]";"2017";"0+";"Притча";"Контакт-культура";"Книга года";"Арт-книга. Победитель";"29.04.2020 10:36:41";"919206407";
"78";"2018";"Мяч в игре";"[Алексей Дурново]";"2018";"6+";"Комедия";"Белая ворона";"Книга года";"Книга и футбол. Победитель";"29.04.2020 10:40:42";"919206418";
"79";"2018";"Смерть Артура";"[Сэр Томас Мэлори]";"2018";"0+";"Комедия";"Октопус";"Книга года";"Искусство книгопечатания. Победитель";"29.04.2020 10:41:51";"919206574";
"80";"2018";"Иуда";"[Амос Оз]";"2017";"16+";"Комедия";"Фантом Пресс";"Ясная поляна";"Иностранная литература. Победитель";"29.04.2020 10:40:41";"919207255";
"81";"2018";"Праздник лишних орлов";"[Александр Бушковский]";"2017";"18+";"Комедия";"Рипол классик";"Ясная поляна";"Финалист. Короткий список";"29.04.2020 10:44:31";"919209400";
"82";"2018";"Петровы в гриппе и вокруг него";"[Алексей Сальников]";"2018";"18+";"Комедия";"АСТ";"Национальный бестселлер";"Прозаическое произведение, обладающего недореализованным потенциалом «интеллектуального бестселлера». Лауреат.";"29.04.2020 10:45:27";"919209449";
"83";"2018";"Была бы дочь Анастасия";"[Василий Аксенов]";"2018";"16+";"Комедия";"Лимбус пресс";"Национальный бестселлер";"Финалист. Короткий список";"29.04.2020 10:41:52";"919209471";
"85";"2018";"Посмотри на него";"[Анна Старобинец]";"2017";"16+";"Комедия";"Corpus (АСТ)";"Национальный бестселлер";"Финалист. Короткий список";"29.04.2020 10:44:31";"919214913";
"86";"2018";"Манарага";"[Владимир Сорокин]";"2017";"18+";"Комедия";"Corpus (АСТ)";"НОС (Новая словесность)";"Новые тренды в современной художественной словесности на русском языке. Победитель";"29.04.2020 10:36:41";"919214916";
"87";"2018";"Предатель ада";"[Павел Пепперштейн]";"2018";"18+";"Комедия";"НЛО";"Премия Андрея Белого";"Проза. Победитель";"29.04.2020 10:36:41";"919214917";
"88";"2018";"Желание исчезнуть";"[Константин Куприянов]";"2018";"18+";"Комедия";"Издательские решения";"Лицей";"Проза. 1 место";"29.04.2020 10:36:41";"919214976";
